city,state_id,lat,lng,population,density,city_with_state
Hazardville,CT,41.9921,-72.5344,6123,416.8,"Hazardville, CT"
Wesley Hills,NY,41.1578,-74.0768,6123,705.2,"Wesley Hills, NY"
Maquoketa,IA,42.059,-90.6649,6123,523.4,"Maquoketa, IA"
Oreland,PA,40.115,-75.1803,6123,1566.4,"Oreland, PA"
Gustine,CA,37.2545,-120.9949,6122,1257.4,"Gustine, CA"
Paoli,PA,40.042,-75.4912,6121,1173.0,"Paoli, PA"
Oceanport,NJ,40.316,-74.0205,6119,744.8,"Oceanport, NJ"
Tequesta,FL,26.9618,-80.1011,6116,1289.2,"Tequesta, FL"
Avon,CO,39.6442,-106.513,6115,283.8,"Avon, CO"
Edgewood,NM,35.1318,-106.2151,6113,41.6,"Edgewood, NM"
Cherryville,NC,35.3844,-81.3781,6113,427.6,"Cherryville, NC"
Simsbury Center,CT,41.8808,-72.8111,6110,517.2,"Simsbury Center, CT"
Hellertown,PA,40.5812,-75.3378,6109,1798.3,"Hellertown, PA"
Ocean City,FL,30.4398,-86.6071,6108,1517.6,"Ocean City, FL"
Harris Hill,NY,42.973,-78.6793,6107,583.7,"Harris Hill, NY"
Independence,IA,42.4621,-91.9027,6106,392.1,"Independence, IA"
Bridgewater Center,NJ,40.6037,-74.6445,6106,404.1,"Bridgewater Center, NJ"
Little Silver,NJ,40.3357,-74.0346,6104,869.0,"Little Silver, NJ"
Morris Plains,NJ,40.8356,-74.4786,6104,922.8,"Morris Plains, NJ"
Everman,TX,32.6296,-97.2827,6102,1338.0,"Everman, TX"
Nolanville,TX,31.0754,-97.609,6102,501.4,"Nolanville, TX"
Lyman,SC,34.9667,-82.1232,6099,355.4,"Lyman, SC"
Gas City,IN,40.4887,-85.5944,6099,468.4,"Gas City, IN"
West Yarmouth,MA,41.6496,-70.2487,6098,352.0,"West Yarmouth, MA"
Woodcliff Lake,NJ,41.0253,-74.0604,6096,697.2,"Woodcliff Lake, NJ"
Palmer,AK,61.5971,-149.1148,6091,463.7,"Palmer, AK"
Adel,IA,41.6101,-94.0124,6090,440.3,"Adel, IA"
Rancho Calaveras,CA,38.1248,-120.857,6089,280.5,"Rancho Calaveras, CA"
Northville,MI,42.4355,-83.489,6088,1152.7,"Northville, MI"
Yabucoa,PR,18.0464,-65.8803,6082,1807.5,"Yabucoa, PR"
Elmwood,LA,29.9554,-90.1879,6081,622.1,"Elmwood, LA"
Lake City,SC,33.8676,-79.7534,6080,430.9,"Lake City, SC"
West Clarkston-Highland,WA,46.4017,-117.0624,6080,835.8,"West Clarkston-Highland, WA"
Tarrant,AL,33.5945,-86.7685,6077,368.4,"Tarrant, AL"
DeFuniak Springs,FL,30.7123,-86.1208,6072,168.1,"DeFuniak Springs, FL"
Maize,KS,37.7749,-97.462,6071,239.2,"Maize, KS"
Bellefonte,PA,40.9141,-77.7683,6071,1271.0,"Bellefonte, PA"
Larose,LA,29.5669,-90.3751,6069,215.6,"Larose, LA"
Loudon,TN,35.7414,-84.3701,6069,185.3,"Loudon, TN"
Daniels Farm,CT,41.2778,-73.2022,6067,480.3,"Daniels Farm, CT"
Rupert,ID,42.6189,-113.674,6066,1137.6,"Rupert, ID"
Franklin,PA,41.3936,-79.8425,6066,500.8,"Franklin, PA"
Sheridan,CO,39.6468,-105.0182,6062,1051.7,"Sheridan, CO"
Louisville,MS,33.1224,-89.0553,6061,155.0,"Louisville, MS"
Vandalia,IL,38.9754,-89.1117,6058,287.1,"Vandalia, IL"
Rittman,OH,40.9736,-81.785,6058,371.4,"Rittman, OH"
Cidra,PR,18.1776,-66.158,6056,2094.6,"Cidra, PR"
Slinger,WI,43.3317,-88.2798,6055,426.2,"Slinger, WI"
North Sea,NY,40.933,-72.4047,6054,211.5,"North Sea, NY"
The Village of Indian Hill,OH,39.1916,-84.3345,6051,125.2,"The Village of Indian Hill, OH"
Crystal Lake,FL,28.0371,-81.9064,6048,914.2,"Crystal Lake, FL"
Raton,NM,36.8849,-104.4396,6046,293.2,"Raton, NM"
Battlefield,MO,37.1194,-93.3683,6046,911.6,"Battlefield, MO"
Bangor Base,WA,47.7226,-122.7144,6045,210.2,"Bangor Base, WA"
Crafton,PA,40.4333,-80.0712,6044,2042.8,"Crafton, PA"
Bridgeport,TX,33.21,-97.7708,6044,297.6,"Bridgeport, TX"
Hamlet,NC,34.8892,-79.7099,6043,443.0,"Hamlet, NC"
East Farmingdale,NY,40.7367,-73.4114,6043,312.0,"East Farmingdale, NY"
Churchville,PA,40.1922,-74.9982,6041,728.0,"Churchville, PA"
Barnhart,MO,38.336,-90.4046,6040,457.2,"Barnhart, MO"
Centerport,NY,40.8951,-73.3704,6040,1054.4,"Centerport, NY"
Pontoon Beach,IL,38.7208,-90.0609,6039,234.1,"Pontoon Beach, IL"
Greenwood,MO,38.8508,-94.3377,6038,446.8,"Greenwood, MO"
Brookville,OH,39.8393,-84.4176,6035,608.4,"Brookville, OH"
Solvang,CA,34.5935,-120.1401,6035,960.8,"Solvang, CA"
Manchester,WA,47.5519,-122.5517,6033,796.8,"Manchester, WA"
Boiling Spring Lakes,NC,34.0327,-78.0685,6032,96.7,"Boiling Spring Lakes, NC"
Bensley,VA,37.447,-77.442,6032,810.2,"Bensley, VA"
Pauls Valley,OK,34.7231,-97.2281,6031,279.7,"Pauls Valley, OK"
