city,state_id,lat,lng,population,density,city_with_state
New York,NY,40.6943,-73.9249,18908608,11080.3,"New York, NY"
Los Angeles,CA,34.1141,-118.4068,11922389,3184.7,"Los Angeles, CA"
Chicago,IL,41.8375,-87.6866,8497759,4614.5,"Chicago, IL"
Miami,FL,25.784,-80.2101,6080145,4758.9,"Miami, FL"
Houston,TX,29.786,-95.3885,5970127,1384.0,"Houston, TX"
Dallas,TX,32.7935,-96.7667,5830932,1478.7,"Dallas, TX"
Philadelphia,PA,40.0077,-75.1339,5683533,4578.4,"Philadelphia, PA"
Atlanta,GA,33.7628,-84.422,5180179,1412.3,"Atlanta, GA"
Washington,DC,38.9047,-77.0163,5116378,4235.7,"Washington, DC"
Boston,MA,42.3188,-71.0852,4328315,5319.0,"Boston, MA"
Phoenix,AZ,33.5722,-112.0892,4064275,1198.9,"Phoenix, AZ"
Detroit,MI,42.3834,-83.1024,3725908,1772.2,"Detroit, MI"
Seattle,WA,47.6211,-122.3244,3561397,3376.6,"Seattle, WA"
San Francisco,CA,37.7558,-122.4449,3364979,7030.7,"San Francisco, CA"
San Diego,CA,32.8313,-117.1222,3046560,1639.7,"San Diego, CA"
Minneapolis,MN,44.9635,-93.2678,2892569,3052.2,"Minneapolis, MN"
Tampa,FL,27.9945,-82.4447,2861173,1320.9,"Tampa, FL"
Brooklyn,NY,40.6501,-73.9496,2736074,15200.5,"Brooklyn, NY"
Denver,CO,39.762,-104.8758,2687458,1792.9,"Denver, CO"
Queens,NY,40.7498,-73.7976,2405464,8503.7,"Queens, NY"
Riverside,CA,33.9381,-117.3949,2332836,1503.9,"Riverside, CA"
Las Vegas,NV,36.2333,-115.2654,2248047,1755.1,"Las Vegas, NV"
Baltimore,MD,39.3051,-76.6144,2196524,2788.2,"Baltimore, MD"
St. Louis,MO,38.6359,-90.2451,2130881,1864.3,"St. Louis, MO"
Portland,OR,45.5371,-122.65,2095808,1868.8,"Portland, OR"
San Antonio,TX,29.4632,-98.5238,2058444,1118.8,"San Antonio, TX"
Sacramento,CA,38.5677,-121.4685,1957738,2049.4,"Sacramento, CA"
Austin,TX,30.3005,-97.7522,1905945,1154.1,"Austin, TX"
Orlando,FL,28.4773,-81.337,1882705,1070.2,"Orlando, FL"
San Juan,PR,18.3985,-66.061,1814587,3128.8,"San Juan, PR"
San Jose,CA,37.3012,-121.848,1771413,2172.6,"San Jose, CA"
Pittsburgh,PA,40.4397,-79.9763,1749091,2118.5,"Pittsburgh, PA"
Indianapolis,IN,39.7771,-86.1458,1729849,941.8,"Indianapolis, IN"
Manhattan,NY,40.7834,-73.9662,1694263,28653.9,"Manhattan, NY"
Cincinnati,OH,39.1413,-84.506,1692702,1530.6,"Cincinnati, OH"
Kansas City,MO,39.1238,-94.5541,1689556,620.7,"Kansas City, MO"
Cleveland,OH,41.4764,-81.6805,1680247,1839.6,"Cleveland, OH"
Columbus,OH,39.9862,-82.9855,1572546,1581.0,"Columbus, OH"
Bronx,NY,40.8501,-73.8662,1472654,13356.3,"Bronx, NY"
Virginia Beach,VA,36.7335,-76.0435,1443020,722.4,"Virginia Beach, VA"
Charlotte,NC,35.2083,-80.8303,1427444,1089.8,"Charlotte, NC"
Milwaukee,WI,43.0642,-87.9675,1290940,2301.6,"Milwaukee, WI"
Providence,RI,41.823,-71.4187,1290271,3979.7,"Providence, RI"
Jacksonville,FL,30.3322,-81.6749,1288298,491.0,"Jacksonville, FL"
Nashville,TN,36.1715,-86.7842,1177657,555.4,"Nashville, TN"
Salt Lake City,UT,40.7776,-111.9311,1173879,700.8,"Salt Lake City, UT"
Raleigh,NC,35.8324,-78.6429,1163152,1210.0,"Raleigh, NC"
Richmond,VA,37.5295,-77.4756,1073223,1463.7,"Richmond, VA"
Memphis,TN,35.1087,-89.9663,1037998,824.8,"Memphis, TN"
Oklahoma City,OK,35.4676,-97.5136,998806,433.6,"Oklahoma City, OK"
Hartford,CT,41.7661,-72.6834,974684,2689.4,"Hartford, CT"
Louisville,KY,38.1663,-85.6485,963812,923.1,"Louisville, KY"
Buffalo,NY,42.9018,-78.8487,944589,2645.7,"Buffalo, NY"
New Orleans,LA,30.0687,-89.9288,932759,866.5,"New Orleans, LA"
Fort Worth,TX,32.7817,-97.3474,924663,1021.2,"Fort Worth, TX"
Bridgeport,CT,41.1918,-73.1954,908251,3568.4,"Bridgeport, CT"
Tucson,AZ,32.1541,-110.8787,878320,863.9,"Tucson, AZ"
El Paso,TX,31.8476,-106.43,865270,1011.4,"El Paso, TX"
Omaha,NE,41.2627,-96.0529,821345,1323.9,"Omaha, NE"
McAllen,TX,26.2252,-98.2467,797341,884.4,"McAllen, TX"
Birmingham,AL,33.5279,-86.7971,782111,526.4,"Birmingham, AL"
Albuquerque,NM,35.1054,-106.6465,769986,1159.8,"Albuquerque, NM"
Tulsa,OK,36.1283,-95.9042,731743,804.2,"Tulsa, OK"
Fresno,CA,36.783,-119.7939,725276,1805.3,"Fresno, CA"
Charleston,SC,32.8168,-79.9687,706884,503.3,"Charleston, SC"
Rochester,NY,43.168,-77.6162,699921,2278.0,"Rochester, NY"
Dayton,OH,39.7805,-84.2003,668825,950.0,"Dayton, OH"
Cape Coral,FL,26.6443,-81.9957,654405,724.2,"Cape Coral, FL"
Mission Viejo,CA,33.6096,-117.6551,642211,2038.4,"Mission Viejo, CA"
Colorado Springs,CO,38.8674,-104.7605,638194,917.5,"Colorado Springs, CO"
Baton Rouge,LA,30.442,-91.1311,635671,1001.4,"Baton Rouge, LA"
Allentown,PA,40.5961,-75.4756,627863,2754.2,"Allentown, PA"
Ogden,UT,41.2279,-111.9682,622918,1215.9,"Ogden, UT"
Provo,UT,40.2457,-111.6457,619218,1059.2,"Provo, UT"
Knoxville,TN,35.9692,-83.9496,615829,750.3,"Knoxville, TN"
Grand Rapids,MI,42.9619,-85.6562,609023,1708.2,"Grand Rapids, MI"
Columbia,SC,34.0378,-80.9036,604065,383.1,"Columbia, SC"
Albany,NY,42.6664,-73.7987,590694,1798.3,"Albany, NY"
Bakersfield,CA,35.3529,-119.0359,571992,1038.8,"Bakersfield, CA"
New Haven,CT,41.3113,-72.9246,565572,2804.1,"New Haven, CT"
Des Moines,IA,41.5725,-93.6105,548926,933.4,"Des Moines, IA"
Akron,OH,41.0798,-81.5219,541945,1186.2,"Akron, OH"
Palm Bay,FL,27.9631,-80.6593,534348,542.9,"Palm Bay, FL"
Concord,CA,37.9722,-122.0016,531175,1579.4,"Concord, CA"
Wichita,KS,37.6895,-97.3443,509003,938.6,"Wichita, KS"
Mesa,AZ,33.4015,-111.7178,503390,1379.8,"Mesa, AZ"
Harrisburg,PA,40.2752,-76.8843,498329,2380.4,"Harrisburg, PA"
Staten Island,NY,40.5834,-74.1496,495747,3286.2,"Staten Island, NY"
Toledo,OH,41.6638,-83.5827,493302,1295.0,"Toledo, OH"
Worcester,MA,42.2705,-71.8079,486486,2110.2,"Worcester, MA"
Long Beach,CA,33.7977,-118.167,462293,3522.5,"Long Beach, CA"
Port St. Lucie,FL,27.2796,-80.3884,462047,681.8,"Port St. Lucie, FL"
Little Rock,AR,34.7256,-92.3577,459409,649.4,"Little Rock, AR"
Reno,NV,39.5497,-119.8483,457702,940.5,"Reno, NV"
Spokane,WA,47.6671,-117.433,456219,1279.8,"Spokane, WA"
Madison,WI,43.0822,-89.393,451652,1268.3,"Madison, WI"
Boise,ID,43.6005,-116.2308,449776,1072.4,"Boise, ID"
Bonita Springs,FL,26.3558,-81.7859,449527,542.2,"Bonita Springs, FL"
Denton,TX,33.2175,-97.1418,438492,567.5,"Denton, TX"
Oakland,CA,37.7904,-122.2166,437825,3020.6,"Oakland, CA"
Springfield,MA,42.1155,-72.5395,437752,1881.5,"Springfield, MA"
Augusta,GA,33.3645,-82.0708,437257,257.5,"Augusta, GA"
Kissimmee,FL,28.3041,-81.4169,431618,1409.2,"Kissimmee, FL"
Winston-Salem,NC,36.1029,-80.261,427706,721.6,"Winston-Salem, NC"
Stockton,CA,37.9765,-121.3109,413637,1980.5,"Stockton, CA"
Syracuse,NY,43.0407,-76.1437,410732,2251.6,"Syracuse, NY"
Chattanooga,TN,35.066,-85.2481,406849,491.7,"Chattanooga, TN"
Lancaster,PA,40.042,-76.3012,402476,3096.9,"Lancaster, PA"
Greenville,SC,34.8354,-82.3646,401443,917.9,"Greenville, SC"
Durham,NC,35.9792,-78.9022,399616,950.8,"Durham, NC"
Pensacola,FL,30.4413,-87.1911,398813,917.0,"Pensacola, FL"
Fayetteville,AR,36.0714,-94.1661,394650,672.8,"Fayetteville, AR"
Arlington,TX,32.6998,-97.125,393469,1585.1,"Arlington, TX"
Aurora,CO,39.7083,-104.7237,387349,920.3,"Aurora, CO"
Oxnard,CA,34.1964,-119.1815,369962,2944.1,"Oxnard, CA"
Indio,CA,33.7346,-116.2346,369654,1042.7,"Indio, CA"
Scranton,PA,41.4044,-75.6649,366334,1161.3,"Scranton, PA"
Victorville,CA,34.5277,-117.3536,364015,704.1,"Victorville, CA"
Trenton,NJ,40.2237,-74.7641,362179,4571.3,"Trenton, NJ"
Modesto,CA,37.6375,-121.0028,354183,1955.8,"Modesto, CA"
Huntsville,AL,34.6981,-86.6412,349482,376.2,"Huntsville, AL"
Honolulu,HI,21.3294,-157.846,348547,2219.9,"Honolulu, HI"
Greensboro,NC,36.0956,-79.8271,347130,873.2,"Greensboro, NC"
Anaheim,CA,33.839,-117.8574,347111,2665.3,"Anaheim, CA"
Corpus Christi,TX,27.7254,-97.3767,337230,756.1,"Corpus Christi, TX"
Fort Wayne,IN,41.0888,-85.1436,337163,923.0,"Fort Wayne, IN"
Fort Collins,CO,40.5477,-105.0656,335398,1142.2,"Fort Collins, CO"
Jackson,MS,32.3157,-90.2125,335171,529.9,"Jackson, MS"
Myrtle Beach,SC,33.7094,-78.8844,332181,594.6,"Myrtle Beach, SC"
Fayetteville,NC,35.085,-78.9772,328804,543.5,"Fayetteville, NC"
Antioch,CA,37.9787,-121.796,327216,1522.3,"Antioch, CA"
Lansing,MI,42.7142,-84.5601,322561,1114.5,"Lansing, MI"
Lexington,KY,38.0423,-84.4587,321276,437.0,"Lexington, KY"
Mobile,AL,30.6782,-88.1162,320855,515.7,"Mobile, AL"
Youngstown,OH,41.0993,-80.6463,319065,683.3,"Youngstown, OH"
Henderson,NV,36.0133,-115.0381,318063,1153.8,"Henderson, NV"
Savannah,GA,32.0286,-81.1821,316050,524.8,"Savannah, GA"
Poughkeepsie,NY,41.695,-73.9211,314159,2380.4,"Poughkeepsie, NY"
Santa Ana,CA,33.7367,-117.8819,311379,4391.5,"Santa Ana, CA"
Ann Arbor,MI,42.2759,-83.731,308983,1671.9,"Ann Arbor, MI"
St. Paul,MN,44.9478,-93.1039,308806,2294.1,"St. Paul, MN"
Newark,NJ,40.7245,-74.1725,307355,4915.2,"Newark, NJ"
Irvine,CA,33.6772,-117.7738,304527,1792.1,"Irvine, CA"
Santa Rosa,CA,38.4458,-122.7067,296180,1618.1,"Santa Rosa, CA"
Canton,OH,40.8078,-81.3676,294047,1034.3,"Canton, OH"
Asheville,NC,35.5707,-82.5537,294013,795.6,"Asheville, NC"
Flint,MI,43.0236,-83.6921,293893,945.2,"Flint, MI"
Winter Haven,FL,28.0118,-81.7014,293093,596.3,"Winter Haven, FL"
Anchorage,AK,61.1508,-149.1091,290674,65.8,"Anchorage, AK"
Lincoln,NE,40.8099,-96.6784,290531,1132.1,"Lincoln, NE"
Concord,NC,35.3933,-80.6369,288783,635.4,"Concord, NC"
Jersey City,NJ,40.7184,-74.0686,287899,7537.2,"Jersey City, NJ"
Springfield,MO,37.1943,-93.2916,286280,784.5,"Springfield, MO"
Plano,TX,33.0502,-96.7486,284948,1534.7,"Plano, TX"
Shreveport,LA,32.4653,-93.7955,283536,664.7,"Shreveport, LA"
Davenport,IA,41.5565,-90.6053,281333,614.0,"Davenport, IA"
Lubbock,TX,33.5657,-101.8879,280890,722.2,"Lubbock, TX"
Lakeland,FL,28.0557,-81.9545,280346,663.9,"Lakeland, FL"
South Bend,IN,41.6767,-86.2696,278061,948.2,"South Bend, IN"
Chula Vista,CA,32.6281,-117.0144,276103,2147.6,"Chula Vista, CA"
Chandler,AZ,33.2825,-111.8514,275618,1624.6,"Chandler, AZ"
Rockford,IL,42.2596,-89.064,273237,881.3,"Rockford, IL"
Reading,PA,40.34,-75.9267,272712,3710.8,"Reading, PA"
Eugene,OR,44.0564,-123.1174,270990,1543.4,"Eugene, OR"
Wilmington,NC,34.2099,-77.8866,268625,878.3,"Wilmington, NC"
Santa Clarita,CA,34.4175,-118.4964,268273,1232.5,"Santa Clarita, CA"
Gilbert,AZ,33.31,-111.7463,267267,1503.9,"Gilbert, AZ"
Salem,OR,44.9233,-123.0244,266420,1387.5,"Salem, OR"
Killeen,TX,31.0753,-97.7297,265921,1086.4,"Killeen, TX"
Round Lake Beach,IL,42.3791,-88.0811,264451,2084.1,"Round Lake Beach, IL"
Columbus,GA,32.51,-84.8771,264282,364.8,"Columbus, GA"
North Las Vegas,NV,36.2883,-115.0888,264022,996.2,"North Las Vegas, NV"
Kennewick,WA,46.1978,-119.1732,259995,1138.5,"Kennewick, WA"
St. Petersburg,FL,27.7931,-82.6652,259343,1620.2,"St. Petersburg, FL"
Tallahassee,FL,30.4551,-84.2527,258696,751.3,"Tallahassee, FL"
Laredo,TX,27.5625,-99.4874,255293,922.7,"Laredo, TX"
Irving,TX,32.8583,-96.9702,254962,1469.7,"Irving, TX"
Peoria,IL,40.752,-89.6154,253467,908.7,"Peoria, IL"
Montgomery,AL,32.3482,-86.2668,251158,482.6,"Montgomery, AL"
Chesapeake,VA,36.6778,-76.3023,249377,284.5,"Chesapeake, VA"
Glendale,AZ,33.5791,-112.2311,248083,1451.1,"Glendale, AZ"
York,PA,39.9651,-76.7315,247176,3267.0,"York, PA"
Nashua,NH,42.7491,-71.491,245209,1138.8,"Nashua, NH"
Garland,TX,32.91,-96.6304,244026,1649.6,"Garland, TX"
Scottsdale,AZ,33.6872,-111.8651,240537,504.7,"Scottsdale, AZ"
Lafayette,LA,30.2082,-92.0325,237565,839.2,"Lafayette, LA"
Norfolk,VA,36.8945,-76.259,236973,1717.4,"Norfolk, VA"
Arlington,VA,38.8786,-77.1011,235845,3502.7,"Arlington, VA"
Appleton,WI,44.278,-88.3892,233947,1145.4,"Appleton, WI"
Aguadilla,PR,18.4382,-67.1537,228854,1751.5,"Aguadilla, PR"
Rock Hill,SC,34.9415,-81.0241,228811,655.4,"Rock Hill, SC"
Fremont,CA,37.5265,-121.9843,228795,1131.0,"Fremont, CA"
Fargo,ND,46.8651,-96.8292,228364,968.3,"Fargo, ND"
Gulfport,MS,30.4274,-89.0704,228022,503.4,"Gulfport, MS"
Bremerton,WA,47.5436,-122.7121,226805,597.3,"Bremerton, WA"
Green Bay,WI,44.5148,-87.9895,225633,907.1,"Green Bay, WI"
Enterprise,NV,36.0091,-115.2278,225461,1319.0,"Enterprise, NV"
Hialeah,FL,25.8696,-80.3045,222996,3989.5,"Hialeah, FL"
Deltona,FL,28.905,-81.2137,221137,976.3,"Deltona, FL"
San Bernardino,CA,34.1416,-117.2943,221041,1373.7,"San Bernardino, CA"
Gainesville,FL,29.6804,-82.3459,220929,860.2,"Gainesville, FL"
Spring Valley,NV,36.0952,-115.2636,220114,2393.6,"Spring Valley, NV"
Tacoma,WA,47.2431,-122.4531,219234,1702.7,"Tacoma, WA"
Roanoke,VA,37.2785,-79.9581,218533,900.9,"Roanoke, VA"
Brownsville,TX,25.9975,-97.458,215269,548.4,"Brownsville, TX"
College Station,TX,30.5852,-96.2959,213177,909.0,"College Station, TX"
Olympia,WA,47.0417,-122.8959,210877,1168.7,"Olympia, WA"
Clarksville,TN,36.5692,-87.3413,210551,650.9,"Clarksville, TN"
Yonkers,NY,40.9466,-73.8673,209780,4498.4,"Yonkers, NY"
Moreno Valley,CA,33.9244,-117.2045,209578,1577.1,"Moreno Valley, CA"
Thousand Oaks,CA,34.1914,-118.8756,209570,884.1,"Thousand Oaks, CA"
Portland,ME,43.6773,-70.2715,209491,1223.9,"Portland, ME"
Fontana,CA,34.0968,-117.4599,209279,1867.1,"Fontana, CA"
Hickory,NC,35.741,-81.3223,206008,539.2,"Hickory, NC"
Amarillo,TX,35.1984,-101.8316,205903,750.2,"Amarillo, TX"
Sioux Falls,SD,43.5396,-96.7311,204484,926.0,"Sioux Falls, SD"
Evansville,IN,37.9881,-87.5341,203661,953.2,"Evansville, IN"
Huntington,WV,38.4109,-82.4345,202754,1110.2,"Huntington, WV"
Waterbury,CT,41.5582,-73.0361,202422,1547.8,"Waterbury, CT"
Frisco,TX,33.156,-96.8216,202075,1137.6,"Frisco, TX"
Lorain,OH,41.4409,-82.184,201808,1065.4,"Lorain, OH"
Kalamazoo,MI,42.2749,-85.5882,200838,1146.8,"Kalamazoo, MI"
Galveston,TX,29.2484,-94.8913,200451,501.2,"Galveston, TX"
Spartanburg,SC,34.9442,-81.9251,200000,730.2,"Spartanburg, SC"
Santa Barbara,CA,34.4285,-119.7202,199023,1754.6,"Santa Barbara, CA"
Sunrise Manor,NV,36.1783,-115.0487,198325,2271.3,"Sunrise Manor, NV"
Huntington Beach,CA,33.696,-118.0018,197481,2825.9,"Huntington Beach, CA"
Grand Prairie,TX,32.6871,-97.0208,197279,1050.5,"Grand Prairie, TX"
Overland Park,KS,38.887,-94.687,196676,1009.4,"Overland Park, KS"
McKinney,TX,33.2016,-96.667,196160,1131.0,"McKinney, TX"
Waco,TX,31.5599,-97.1882,195709,604.6,"Waco, TX"
Hagerstown,MD,39.6401,-77.7217,195261,1334.0,"Hagerstown, MD"
Glendale,CA,34.1819,-118.2468,194512,2464.0,"Glendale, CA"
Nampa,ID,43.5844,-116.5638,193935,1139.2,"Nampa, ID"
Peoria,AZ,33.7843,-112.2989,191292,419.5,"Peoria, AZ"
Cedar Rapids,IA,41.9662,-91.6783,191104,724.0,"Cedar Rapids, IA"
Vancouver,WA,45.6366,-122.5967,190700,1510.4,"Vancouver, WA"
Paradise,NV,36.0872,-115.1355,189733,1727.6,"Paradise, NV"
Ocala,FL,29.178,-82.1511,186840,518.8,"Ocala, FL"
Erie,PA,42.1167,-80.0733,185556,1913.7,"Erie, PA"
Newport News,VA,37.1051,-76.5185,185118,1035.9,"Newport News, VA"
Frederick,MD,39.4337,-77.4141,184991,1263.9,"Frederick, MD"
Murfreesboro,TN,35.849,-86.4121,184763,926.1,"Murfreesboro, TN"
Fort Lauderdale,FL,26.1412,-80.1464,182673,2039.5,"Fort Lauderdale, FL"
Aurora,IL,41.7638,-88.2902,181405,1555.1,"Aurora, IL"
Tempe,AZ,33.3881,-111.9319,181005,1748.3,"Tempe, AZ"
Danbury,CT,41.4015,-73.4709,180143,794.2,"Danbury, CT"
Spring Hill,FL,28.4798,-82.53,178833,753.2,"Spring Hill, FL"
Gastonia,NC,35.2494,-81.1854,178220,598.7,"Gastonia, NC"
Salinas,CA,36.6883,-121.6317,177410,2672.8,"Salinas, CA"
Fredericksburg,VA,38.2992,-77.4872,176791,1044.0,"Fredericksburg, VA"
Ontario,CA,34.0393,-117.6064,176326,1362.0,"Ontario, CA"
Elk Grove,CA,38.4161,-121.3842,176105,1596.1,"Elk Grove, CA"
Gainesville,GA,34.2902,-83.8294,175569,493.1,"Gainesville, GA"
Cary,NC,35.7819,-78.8195,174880,1126.5,"Cary, NC"
Rancho Cucamonga,CA,34.1247,-117.5667,174696,1450.5,"Rancho Cucamonga, CA"
Oceanside,CA,33.2247,-117.3083,173722,1625.3,"Oceanside, CA"
Garden Grove,CA,33.7787,-117.9601,171637,3691.2,"Garden Grove, CA"
Lancaster,CA,34.6935,-118.1753,171465,702.2,"Lancaster, CA"
Hemet,CA,33.7341,-116.9969,170621,1182.9,"Hemet, CA"
Pembroke Pines,FL,26.0128,-80.3382,170472,2014.0,"Pembroke Pines, FL"
Panama City,FL,30.1995,-85.6003,169810,373.9,"Panama City, FL"
Vallejo,CA,38.1125,-122.2342,169541,1588.3,"Vallejo, CA"
Manchester,NH,42.9848,-71.4447,169097,1343.1,"Manchester, NH"
Medford,OR,42.3372,-122.854,168959,1191.6,"Medford, OR"
BayamÃ³n,PR,18.3794,-66.1635,168698,2404.7,"BayamÃ³n, PR"
Mauldin,SC,34.7821,-82.3032,168313,808.4,"Mauldin, SC"
Santa Cruz,CA,36.9789,-122.0346,167835,1859.8,"Santa Cruz, CA"
Palmdale,CA,34.5944,-118.1057,166895,607.5,"Palmdale, CA"
Norwich,CT,41.5495,-72.0882,166885,551.1,"Norwich, CT"
Muskegon,MI,43.2281,-86.2562,166847,1045.2,"Muskegon, MI"
Leesburg,FL,28.7672,-81.8962,166200,270.6,"Leesburg, FL"
High Point,NC,35.991,-79.9937,164836,774.3,"High Point, NC"
Tuscaloosa,AL,33.2348,-87.5268,164414,660.0,"Tuscaloosa, AL"
Visalia,CA,36.3276,-119.3269,163681,1433.0,"Visalia, CA"
Marysville,WA,48.0809,-122.1561,162664,1318.1,"Marysville, WA"
Merced,CA,37.3057,-120.4779,160638,1455.9,"Merced, CA"
Hayward,CA,37.6328,-122.0766,160602,1353.4,"Hayward, CA"
Lafayette,IN,40.3991,-86.8593,160543,930.9,"Lafayette, IN"
Springfield,IL,39.7709,-89.654,159671,721.0,"Springfield, IL"
Corona,CA,33.8616,-117.5649,158346,1532.6,"Corona, CA"
Paterson,NJ,40.9147,-74.1624,157864,7244.8,"Paterson, NJ"
Alexandria,VA,38.8185,-77.0861,157594,4074.1,"Alexandria, VA"
Macon,GA,32.8065,-83.6974,156554,242.4,"Macon, GA"
Binghamton,NY,42.1014,-75.9093,156375,1754.4,"Binghamton, NY"
Lakewood,CO,39.6977,-105.1172,156149,1387.3,"Lakewood, CO"
Kansas City,KS,39.1235,-94.7443,155438,481.1,"Kansas City, KS"
Odessa,TX,31.8801,-102.3448,155039,850.4,"Odessa, TX"
Sunnyvale,CA,37.3836,-122.0255,154573,2705.4,"Sunnyvale, CA"
New Bedford,MA,41.6697,-70.9428,153701,1942.4,"New Bedford, MA"
Hollywood,FL,26.0293,-80.1679,152764,2164.4,"Hollywood, FL"
South Lyon,MI,42.4614,-83.6526,152132,1216.5,"South Lyon, MI"
Escondido,CA,33.1348,-117.0723,151114,1562.3,"Escondido, CA"
Lake Charles,LA,30.201,-93.2111,151109,670.5,"Lake Charles, LA"
Pasadena,TX,29.6575,-95.1498,150620,1331.1,"Pasadena, TX"
Bellevue,WA,47.5951,-122.1535,150606,1737.5,"Bellevue, WA"
Joliet,IL,41.5188,-88.1499,150221,882.1,"Joliet, IL"
Champaign,IL,40.1142,-88.2737,150179,1488.4,"Champaign, IL"
Pomona,CA,34.0585,-117.7626,149831,2516.9,"Pomona, CA"
Fairfield,CA,38.2583,-122.0335,149635,1108.7,"Fairfield, CA"
Mesquite,TX,32.7602,-96.5865,149439,1175.4,"Mesquite, TX"
Elkhart,IN,41.6916,-85.9627,149423,752.7,"Elkhart, IN"
Naperville,IL,41.748,-88.1659,149089,1471.7,"Naperville, IL"
St. George,UT,37.0758,-113.5752,148895,481.3,"St. George, UT"
Roseville,CA,38.7703,-121.3196,148879,1303.8,"Roseville, CA"
Topeka,KS,39.0346,-95.6955,148185,792.2,"Topeka, KS"
Burlington,NC,36.076,-79.4685,147415,726.6,"Burlington, NC"
Warner Robins,GA,32.5961,-83.6527,146790,819.4,"Warner Robins, GA"
Surprise,AZ,33.6815,-112.4515,145591,509.4,"Surprise, AZ"
Torrance,CA,33.8346,-118.3416,145454,2737.4,"Torrance, CA"
Santa Maria,CA,34.9333,-120.4431,143647,1854.2,"Santa Maria, CA"
Athens,GA,33.9508,-83.3689,143173,420.0,"Athens, GA"
Houma,LA,29.58,-90.7059,143160,883.2,"Houma, LA"
Columbia,MO,38.9472,-92.3268,142637,725.2,"Columbia, MO"
Fullerton,CA,33.8841,-117.9279,142280,2450.2,"Fullerton, CA"
Olathe,KS,38.8833,-94.82,142114,878.6,"Olathe, KS"
Thornton,CO,39.9197,-104.9438,141799,1500.2,"Thornton, CO"
Greeley,CO,40.4152,-104.7706,140984,843.2,"Greeley, CO"
Beaumont,TX,30.0849,-94.1451,140930,537.6,"Beaumont, TX"
Las Cruces,NM,32.3265,-106.7893,140915,558.4,"Las Cruces, NM"
Midland,TX,32.0243,-102.1147,140171,673.3,"Midland, TX"
Metairie,LA,29.9977,-90.178,140046,2334.8,"Metairie, LA"
Carolina,PR,18.4054,-65.9792,139201,2594.9,"Carolina, PR"
West Valley City,UT,40.6886,-112.0123,138868,1496.6,"West Valley City, UT"
Orange,CA,33.8038,-117.8218,138728,2086.8,"Orange, CA"
Warren,MI,42.4934,-83.027,138588,1556.5,"Warren, MI"
Grand Junction,CO,39.0877,-108.5673,138416,628.7,"Grand Junction, CO"
Tyler,TX,32.3184,-95.3062,138024,711.1,"Tyler, TX"
Pasadena,CA,34.1597,-118.139,137554,2313.2,"Pasadena, CA"
Hampton,VA,37.0551,-76.363,137217,1029.5,"Hampton, VA"
Bloomington,IL,40.4757,-88.9703,136524,1122.0,"Bloomington, IL"
Elizabeth,NJ,40.6658,-74.1913,135665,4252.1,"Elizabeth, NJ"
Stamford,CT,41.1039,-73.5585,135413,1389.9,"Stamford, CT"
Yuma,AZ,32.5995,-114.5491,135389,307.8,"Yuma, AZ"
Kent,WA,47.3887,-122.2128,135169,1542.6,"Kent, WA"
Miramar,FL,25.9773,-80.3351,135158,1808.6,"Miramar, FL"
Coeur d'Alene,ID,47.704,-116.7936,134503,1309.1,"Coeur d'Alene, ID"
Coral Springs,FL,26.2702,-80.2591,133801,2259.4,"Coral Springs, FL"
Sterling Heights,MI,42.5809,-83.0305,133744,1416.8,"Sterling Heights, MI"
Yuba City,CA,39.1357,-121.6383,133106,1751.4,"Yuba City, CA"
Yakima,WA,46.5923,-120.5496,132354,1343.7,"Yakima, WA"
Carrollton,TX,32.989,-96.8999,132284,1393.3,"Carrollton, TX"
Racine,WI,42.7274,-87.8135,132006,1932.5,"Racine, WI"
Johnson City,TN,36.3406,-82.3806,131718,628.5,"Johnson City, TN"
Billings,MT,45.7891,-108.5526,131519,998.3,"Billings, MT"
Iowa City,IA,41.6559,-91.5303,130736,1127.0,"Iowa City, IA"
Dover,DE,39.161,-75.5202,130186,634.2,"Dover, DE"
Bellingham,WA,48.7548,-122.469,129880,1250.8,"Bellingham, WA"
Charleston,WV,38.3484,-81.6322,129754,594.8,"Charleston, WV"
Lynchburg,VA,37.4003,-79.1909,128849,624.1,"Lynchburg, VA"
Santa Clara,CA,37.3646,-121.968,128058,2705.3,"Santa Clara, CA"
Norman,OK,35.2335,-97.3471,127701,276.0,"Norman, OK"
Greenville,NC,35.5943,-77.376,127574,906.4,"Greenville, NC"
Simi Valley,CA,34.2663,-118.749,127568,1172.4,"Simi Valley, CA"
Fort Smith,AR,35.3495,-94.3695,126452,537.3,"Fort Smith, AR"
Abilene,TX,32.4543,-99.7384,126356,457.4,"Abilene, TX"
Arecibo,PR,18.4491,-66.7387,125727,1007.8,"Arecibo, PR"
Lewisville,TX,33.0454,-96.9815,125028,1187.4,"Lewisville, TX"
Pearland,TX,29.5581,-95.3218,124478,987.1,"Pearland, TX"
Lehigh Acres,FL,26.612,-81.6388,124440,518.3,"Lehigh Acres, FL"
Kenosha,WI,42.5865,-87.8773,124297,1341.2,"Kenosha, WI"
Seaside,CA,36.6224,-121.8199,123421,1397.2,"Seaside, CA"
Burlington,VT,44.4876,-73.2316,123307,1673.1,"Burlington, VT"
Arvada,CO,39.832,-105.151,123066,1219.0,"Arvada, CO"
Waldorf,MD,38.6085,-76.9194,122310,863.7,"Waldorf, MD"
Independence,MO,39.0871,-94.3501,122218,605.2,"Independence, MO"
